2024-08-09T13:29:05Z - CPU: 80, MEM: 15251, TEMP: 55, POWER: 73
2024-08-09T13:29:06Z - CPU: 36, MEM: 6982, TEMP: 85, POWER: 70
2024-08-09T13:29:07Z - CPU: 28, MEM: 31898, TEMP: 37, POWER: 69
2024-08-09T13:29:08Z - CPU: 88, MEM: 4732, TEMP: 55, POWER: 57
2024-08-09T13:29:09Z - CPU: 68, MEM: 21512, TEMP: 66, POWER: 108
2024-08-09T13:29:10Z - CPU: 23, MEM: 1305, TEMP: 65, POWER: 94
2024-08-09T13:29:11Z - CPU: 40, MEM: 7782, TEMP: 80, POWER: 86
2024-08-09T13:29:12Z - CPU: 26, MEM: 27050, TEMP: 37, POWER: 87
2024-08-09T13:29:13Z - CPU: 57, MEM: 4000, TEMP: 38, POWER: 71
2024-08-09T13:29:14Z - CPU: 87, MEM: 16920, TEMP: 58, POWER: 49
2024-08-09T13:29:15Z - CPU: 38, MEM: 5509, TEMP: 77, POWER: 54
2024-08-09T13:29:16Z - CPU: 17, MEM: 2294, TEMP: 36, POWER: 48
2024-08-09T13:29:17Z - CPU: 95, MEM: 19016, TEMP: 84, POWER: 42
2024-08-09T13:29:18Z - CPU: 66, MEM: 2714, TEMP: 63, POWER: 59
2024-08-09T13:29:19Z - CPU: 97, MEM: 30466, TEMP: 62, POWER: 66
2024-08-09T13:29:20Z - CPU: 73, MEM: 10622, TEMP: 64, POWER: 54
2024-08-09T13:29:21Z - CPU: 48, MEM: 9774, TEMP: 34, POWER: 62
2024-08-09T13:29:22Z - CPU: 87, MEM: 14528, TEMP: 38, POWER: 99
2024-08-09T13:29:23Z - CPU: 99, MEM: 17963, TEMP: 80, POWER: 76
2024-08-09T13:29:24Z - CPU: 25, MEM: 26272, TEMP: 54, POWER: 88
2024-08-09T13:29:25Z - CPU: 13, MEM: 23485, TEMP: 68, POWER: 87
2024-08-09T13:29:26Z - CPU: 55, MEM: 14085, TEMP: 55, POWER: 103
2024-08-09T13:29:27Z - CPU: 77, MEM: 17549, TEMP: 37, POWER: 73
